CODE,Value
"AC","Acrisols"
"AL","Alisols"
"AN","Andosols"
"AR","Arenosols"
"AT","Anthrosols"
"CH","Chernozems"
"CL","Calcisols"
"CM","Cambisols"
"CR","Cryosols"
"FL","Fluvisols"
"FR","Ferralsols"
"GG","Glaciers"
"GL","Gleysols"
"GY","Gypsisols"
"HS","Histosols"
"IS","Islands"
"KS","Kastanozems"
"LP","Leptosols"
"LV","Luvisols"
"LX","Lixisols"
"ND","No Data"
"NT","Nitisols"
"PH","Phaeozems"
"PL","Planosols"
"PT","Plinthosols"
"PZ","Podzols"
"RG","Regosols"
"RT","Retisols"
"SC","Solonchaks"
"SN","Solonetz"
"ST","Stagnosols"
"TC","Technosols"
"UM","Umbrisols"
"VR","Vertisols"
"WR","Open Water"
