ID,CODE,VALUE
1,"AC","Acrisol"
2,"ACfgfr","Ferric Fragic Acrisol"
3,"ACfggl","Gleyic Fragic Acrisol"
4,"ACfr","Ferric Acrisol"
5,"ACfr","Ferric Acrisol"
6,"ACfrkk","Akroskeletic Ferric Acrisol"
7,"ACfrsk","Skeletic Ferric Acrisol"
8,"ACgl","Gleyic Acrisol"
9,"ACglkk","Akroskeletic Gleyic Acrisol"
10,"ACha","Haplic Acrisol"
11,"ACkk","Akroskeletic Acrisol"
12,"ACkkfr","Akroskeletic Ferric Acrisol"
13,"ACle","Leptic Acrisol"
14,"AClefr","Ferric Leptic Acrisol"
15,"AClekk","Akroskeletic Leptic Acrisol"
16,"ACsk","Skeletic Acrisol"
17,"AL","Alisol"
18,"ALfr","Ferric Alisol"
19,"ALgl","Gleyic Alisol"
20,"ALha","Haplic Alisol"
21,"ALle","Leptic Alisol"
22,"AN","Andosol"
23,"ANdy","Dystric Andosol"
24,"ANgl","Gleyic Andosol"
25,"ANkk","Akroskeletic Andosol"
26,"ANkksk","Skeletic Akroskeletic Andosol"
27,"ANledy","Dystric Leptic Andosol"
28,"ANlemo","Mollic Leptic Andosol"
29,"ANlesk","Skeletic Leptic Andosol"
30,"ANleum","Umbric Leptic Andosol"
31,"ANlevi","Vitric leptic Andosol"
32,"ANmo","Mollic Andosol"
33,"ANmokk","Akroseletic Mollic Andosol"
34,"ANsk","Skeletic Andosol"
35,"ANum","Umbric Andosol"
36,"ANumkk","Akroskeletic Umbric Andosol"
37,"ANumsk","Skeletic Umbric Andosol"
38,"ANvi","Vitric Andosol"
39,"ANvikk","Akroskeletic Vitric Andosol"
40,"ANviskkk","Akroskeletic Skeletic Vitric Andosol"
41,"AR","Arenosol"
42,"ARbr","Brunic Arenosol"
43,"ARbrkk","Akroskeletic Brunic Arenosol"
44,"ARbrye","Yermic Brunic Arenosol"
45,"ARca","Calcaric Arenosol"
46,"ARcakk","Akroskeletic Calcaric Arenosol"
47,"ARcq","Claric Arenosol"
48,"ARcqkk","Akroskeletic Claric Arenosol"
49,"ARfl","Fluvic Arenosol"
50,"ARkk","Akroskeletic Arenosol"
51,"ARpr","Protic Arenosol"
52,"ARprkk","Akroskeletic Protic Arenosol"
53,"ARqg","Protoargic Arenosol"
54,"ARqgkk","Akroskeletic Protoargic Arenosol"
55,"ARse","Sideralic Arenosol"
56,"ARsekk","Akroskeletic Sideralic Arenosol"
57,"ARskbr","Brunic Skeletic Arenosol"
58,"ARye","Yermic Arenosol"
59,"ARyeca","Calcaric Yermic Arenosol"
60,"ARyecq","Claric Yermic Arenosol"
61,"ARyeqg","Protoargic Yermic Arenosol"
62,"AT","Anthrosol"
63,"ATht","Hortic Anthrosol"
64,"AThy","Hydrargic Anthrosol"
65,"ATir","Irragric Anthrosol"
66,"CRra","Reducaquic Cryosol"
67,"CH","Chernozem"
68,"CHcc","Calcic Chernozem"
69,"CHcckk","Akroskeletic Calcic Chernozem"
70,"CHccsk","Skeletic Calcic Chernozem"
71,"CHgl","Gleyic Chernozem"
72,"CHha","Haplic Chernozem"
73,"CHkk","Akroskeletic Chernozem"
74,"CHle","Leptic Chernozem"
75,"CHlecc","Calcic Leptic Chernozem"
76,"CHlegl","Gleyic Leptic Chernozem"
77,"CHlelv","Luvic Leptic Chernozem"
78,"CHlv","Luvic Chernozem"
79,"CHlvkk","Akroskeletic Luvic Chernozem"
80,"CHsk","Skeletic Chernozem"
81,"CHsklv","Luvic Skeletic Chernozem"
82,"CHto","Tonguic Chernozem"
83,"CL","Calcisol"
84,"CLha","Haplic Calcisol"
85,"Clhaqs","Protosodic Haplic Calcisol"
86,"CLkk","Akroskeletic Acrisol"
87,"CLkkqs","Protosodic Akroskeletic Calcisol"
88,"CLle","Leptic Calcisol"
89,"CLlekk","Akroskeletic Leptic Calcisol"
90,"CLlelv","Luvic Leptic Calcisol"
91,"CLlelvkk","Akroskeletic Luvic Leptic Calcisol"
92,"CLlp","Leptic Calcisol"
93,"CLlv","Luvic Calcisol"
94,"CLlvkk","Akroskeletic Luvic Calcisol"
95,"CLlvsk","Skeletic Luvic Calcisol"
96,"CLlvye","Yermic Luvic Calcisol"
97,"CLpt","Petric Calcisol"
98,"CLptkk","Akroskeletic Petric Calcisol"
99,"CLptle","Leptic Petric Calcisol"
100,"CLptye","Yermic Petric Calcisol"
101,"CLsk","Skeletic Calciol"
102,"CM","Cambisol"
103,"CMca","Calcaric Cambisol"
104,"CMcaqs","Protosodic Calcaric Cambisol"
