ID,FIELD,UNIT,DESCRIPTION,DATATYPE,DOMAIN
1,"ID",,"Database internal ID","Number",
2,"HWSD2_SMU_ID",,"Soil Mapping Unit HWSD-2","Number",
3,"WISE30s_SMU_ID",,"Soil Mapping Unit WISE30s","String",
4,"HWSD1_SMU_ID",,"Soil Mapping Unit HWSD-1","Number",
5,"COVERAGE",,"Coverage","Number","D_COVERAGE"
6,"SHARE","%","Share in Soil Mapping Unit","Number",
7,"WRB4","Class","Soil Unit Symbol (WRB 2022)","String","D_WRB4"
8,"WRB_PHASES","Class","Soil Unit Symbol (WRB'2022)","String","D_WRB_PHASES"
9,"WRB2","Class","Dominant Soil Group (WRB3)","String","D_WRB2"
10,"WRB2_CODE","Class","Dominant Soil Group (WRB  +PHASES)","String","D_WRB2code"
11,"FAO90","Class","Dominant Soil Group (FAO 90)","String","D_FAO90"
12,"KOPPEN","Class","Koppen-Geiger Class","String","D_KOPPEN"
13,"TEXTURE_USDA","Class","Topsoil Texture","Number","D_TEXTURE_USDA"
14,"REF_BULK_DENSITY","g/cm3","Reference Bulk Density","Number",
15,"BULK_DENSITY","g/cm3"," Bulk Density","Number",
16,"DRAINAGE","Class"," Reference Soil Drainage","Number","D_DRAINAGE"
17,"ROOT_DEPTH","Class","Rooting Depth","Number","D_ROOT_DEPTH"
18,"AWC","mm/m","Available Water Capacity","Number",
19,"PHASE1","Class","PHASE1","Number","D_PHASE"
20,"PHASE2","Class","PHASE2","Number","D_PHASE"
21,"ROOTS","Class","Obstacles to Roots (ESDB)","Number","D_ROOTS"
22,"IL","Class","Impermeable Layer  (ESDB)","Number","D_IL"
23,"ADD_PROP","Class","Additional Properties","Number","D_ADD_PROP"
